city,date,pm2_5,temperature_2m,relative_humidity_2m,wind_speed_10m,boundary_layer_height,pressure_msl
Beijing,2023-07-04,45.5875,26.129166666666666,70.0,12.616666666666667,469.04804458333336,996.7416666666667
Beijing,2023-07-05,41.891666666666666,30.120833333333334,40.291666666666664,9.104166666666666,1152.781648875,990.4833333333332
Beijing,2023-07-06,39.987500000000004,32.329166666666666,28.916666666666668,14.333333333333334,520.4160570833334,990.4166666666666
Beijing,2023-07-07,35.670833333333334,31.120833333333334,40.0,12.033333333333333,1042.9175832916667,993.0666666666666
Beijing,2023-07-08,19.712500000000002,31.724999999999998,31.666666666666668,13.966666666666667,1088.6687166250001,997.0875
Beijing,2023-07-09,27.858333333333334,31.9375,31.583333333333332,12.020833333333334,1128.0360522916667,998.6125000000001
Beijing,2023-07-10,53.57916666666667,32.354166666666664,39.958333333333336,12.541666666666666,727.8335404999999,998.5041666666666
Beijing,2023-07-11,61.51666666666667,29.9375,61.666666666666664,11.333333333333334,825.53000375,1001.6750000000001
Beijing,2023-07-12,50.050000000000004,24.358333333333334,88.54166666666667,9.870833333333334,357.87839291666666,1003.6999999999999
Beijing,2023-07-13,61.1875,24.504166666666666,88.29166666666667,7.470833333333334,112.97951495833333,1000.3208333333333
Beijing,2023-07-14,36.52916666666667,27.579166666666666,64.04166666666667,12.1,805.3497819999999,995.0458333333332
Beijing,2023-07-15,16.295833333333334,27.758333333333336,44.541666666666664,18.566666666666666,1032.8817119166667,1000.9541666666668
Beijing,2023-07-16,30.166666666666668,27.9875,46.375,9.595833333333333,529.7774486666666,1005.7125
Beijing,2023-07-17,53.85833333333333,28.208333333333332,55.291666666666664,9.466666666666667,546.3941899166666,1009.375
Beijing,2023-07-18,57.916666666666664,29.3875,52.916666666666664,9.762500000000001,628.3319219166666,1009.6416666666668
Beijing,2023-07-19,67.13333333333334,30.1125,47.333333333333336,10.658333333333333,551.1699296666667,1006.65
Beijing,2023-07-20,70.34583333333333,29.266666666666666,54.791666666666664,8.641666666666667,823.76577,1005.8625000000001
Beijing,2023-07-21,61.45416666666667,24.366666666666664,88.95833333333333,11.75,452.74556229166666,1007.8125
Beijing,2023-07-22,49.3125,23.287499999999998,83.66666666666667,10.4125,224.74499845833336,1005.975
